N,CPU,t(s)
100,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.000121
150,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.000268
200,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.000456
250,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.000854
300,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.001420
350,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.001259
400,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.001219
450,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.001254
500,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.001906
550,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.001578
600,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.002572
650,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.002537
700,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.004324
750,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.003045
800,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.005391
850,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.004650
900,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.006665
950,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.005068
1000,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.008381
1050,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.006938
1100,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.010843
1150,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.014334
1200,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.012784
1250,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.010711
1300,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.015995
1350,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.012077
1400,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.017265
1450,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.015448
1500,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.020837
1550,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.016966
1600,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.025476
1650,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.021726
1700,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.029117
1750,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.023533
1800,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.032965
1850,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.028921
1900,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.037831
1950,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.042490
2000,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.042255
2050,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.037686
2100,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.048315
2150,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.039464
2200,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.051619
2250,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.045196
2300,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.056716
2350,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.045966
2400,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.062980
2450,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.053237
2500,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.068500
2550,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.054451
2600,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.073326
2650,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.063071
2700,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.081619
2750,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.078655
2800,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.091459
2850,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.083834
2900,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.093727
2950,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.077790
3000,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.103582
3050,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.091913
3100,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.109373
3150,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.087276
3200,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.114058
3250,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.099402
3300,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.122537
3350,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.102544
3400,2.5 GHz Intel Core i5 7th Generation Dual-Core,0.130208
3450,2.5 GHz Int
